newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-1.41344504878271e-11,-6.436330711807767e-11,6.586174699184454e-11,-0.01152126292096545,-0.01152126292096545,-1.652644587179497,-1.652644587179497,-5.239237565552676,46,0.2291
-4.492594005330988e-10,-6.21358713402844e-11,-3.891216600058472e-10,-0.04429487086474582,-0.04429487086474582,-0.6405209576469144,-0.6405209576469144,-0.7392716321647821,185,0.8318
7.812334159687172e-11,1.215264707627859e-10,-1.4492910821905937e-11,-0.018944993364426368,-0.018944993364426368,-1.7818471490813808,-1.7818471490813808,-4.393858214351885,212,0.2754
1.4837093362586867e-10,1.4768457027088766e-10,7.093812197208154e-13,-0.0032455019816015275,-0.0032455019816015275,-1.0159242063912426,-1.0159242063912426,-3.435794865150002,1,0.0631
8.420049528609884e-12,-3.2859159209335414e-11,-1.499554306650974e-11,-0.00468826400834652,-0.00468826400834652,-1.6410857315569964,-1.6410857315569964,-4.812524342465294,119,0.1318
4.755124043144366e-11,4.424667919439645e-11,-3.4366276427558856e-11,-0.0012959137578856458,-0.0012959137578856458,-1.1949196434492977,-1.1949196434492977,-3.8319685569032926,116,0.0759
-2.8670924238596173e-11,-3.794256187237758e-11,-1.3265157840254368e-11,-0.0049708452189488675,-0.0049708452189488675,-0.2729267834210655,-0.2729267834210655,-0.833627464248902,176,0.0174
7.727535198853909e-11,5.0644478037819815e-11,5.462298697791643e-11,-0.006168717599413408,-0.006168717599413408,-1.653916101828018,-1.653916101828018,-4.978194199598411,204,0.1585
1.532927425216005e-10,5.245123171975644e-11,1.627939456325394e-10,-0.03148634070445135,-0.03148634070445135,-0.8885810569174379,-0.8885810569174379,-2.8692463840107214,60,0.0525
-3.065068777808305e-11,-9.638336458198095e-11,3.4459072365453924e-11,-0.005857979964300454,-0.005857979964300454,-1.7516470716018842,-1.7516470716018842,-5.047818723397769,140,0.1585
-1.1511652046046685e-11,-2.686292265945165e-11,-1.1149127595293805e-11,-0.004838512075844876,-0.004838512075844876,-1.0461853682062776,-1.0461853682062776,-3.133703262359895,226,0.0631
6.70193926729927e-12,1.4445299541268748e-11,5.466588853864646e-13,-0.002701735174016402,-0.002701735174016402,-0.1525257061368733,-0.1525257061368733,-0.14738061911454195,119,0.0100
2.4486180401576296e-11,-1.4207317035543062e-12,-3.874536934046322e-11,-0.0031077091093138416,-0.0031077091093138416,-1.205611303951454,-1.205611303951454,-3.5797357358746877,217,0.0759
-5.094144097728469e-11,1.1794021285440639e-10,-3.203166198904904e-10,-0.05547758057320249,-0.05547758057320249,-0.570564064474361,-0.570564064474361,-0.9982207219121768,120,0.8318
4.002175801027757e-13,1.1205888507696937e-11,6.124893135529693e-11,-0.008122178176408316,-0.008122178176408316,-0.8377142306798664,-0.8377142306798664,-2.820103093820025,166,0.0525
-1.705282499841998e-11,1.1420064650660361e-11,1.8412456978710327e-11,-0.015788085225074466,-0.015788085225074466,-0.6536324467432852,-0.6536324467432852,-1.9197032317485612,23,0.0363
-8.292963469741539e-11,-1.0917835679228586e-11,-3.66450819986294e-11,-0.020580580454157286,-0.020580580454157286,-1.5199672274874811,-1.5199672274874811,-4.041008792172717,122,0.3311
3.0287316694039536e-10,1.9290375035911742e-10,6.474298514937314e-11,-0.03526567005083849,-0.03526567005083849,-0.9037013196395606,-0.9037013196395606,-1.7032861075548045,97,0.5754
-1.5526540620046903e-10,-1.9570494645924788e-11,-6.548791319179458e-11,-0.004494250393205254,-0.004494250393205254,-1.6372908603343606,-1.6372908603343606,-5.268073613693739,168,0.1585
-8.461480886547573e-11,-1.4304189337381575e-10,-1.1744605456273726e-11,-0.004553955151596009,-0.004553955151596009,-0.3974400478110155,-0.3974400478110155,-1.2930684865207358,145,0.0251
-5.83305394235948e-11,1.1993184417219661e-11,-8.971351139192874e-12,-0.0004543032768007668,-0.0004543032768007668,-1.1418861731158856,-1.1418861731158856,-3.890997517144123,147,0.0759
1.8865314493931148e-10,1.233289553694848e-10,2.0439857372281897e-10,-0.022854510866960723,-0.022854510866960723,-1.367138786027991,-1.367138786027991,-3.429579557794274,13,0.3981
4.5702527797600795e-11,1.9290586951048726e-11,3.838725551573548e-11,-0.0008875355253822322,-0.0008875355253822322,-1.234925525861121,-1.234925525861121,-3.446986423899153,134,0.0759
-1.772361702901117e-11,-1.1164375516176824e-10,4.741509136673999e-12,-0.005424318722320077,-0.005424318722320077,-1.5956854026054768,-1.5956854026054768,-4.95297185828649,43,0.1318
1.332558256278769e-11,1.3539785062996396e-11,6.749935522137369e-12,-0.00396320103670877,-0.00396320103670877,-0.22132626007665424,-0.22132626007665424,-0.6250482334930304,198,0.0145
-6.140791739088482e-11,-1.7513878484617703e-11,-2.991853581442212e-11,-0.01275242594284832,-0.01275242594284832,-0.36031447271484424,-0.36031447271484424,-0.8848759706071028,191,0.0209
-3.6037222374057766e-11,-4.888559486598995e-11,1.4238746588180877e-10,-0.018031469944579232,-0.018031469944579232,-1.0431217416230034,-1.0431217416230034,-2.8049766626551444,221,0.4786
3.1493024458617974e-11,-6.958035203455642e-11,-9.44427071134962e-12,-0.005747232848043355,-0.005747232848043355,-1.6374705915225578,-1.6374705915225578,-5.030869943096462,35,0.2291
