newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.398,0.056,0.069,0.053,0.057,0.003,0.02,0.086,14,52
0.39,0.04,0.058,0.061,0.053,0.0,0.016,0.092,16,82
0.465,0.236,0.245,0.194,0.19,0.063,0.123,0.218,6,89
0.403,0.069,0.088,0.067,0.065,0.003,0.02,0.105,14,88
0.51,0.343,0.317,0.262,0.273,0.138,0.187,0.265,4,62
0.47,0.264,0.255,0.205,0.227,0.065,0.153,0.243,6,83
0.483,0.221,0.222,0.175,0.186,0.064,0.134,0.214,6,19
0.497,0.366,0.357,0.283,0.287,0.165,0.227,0.297,4,73
0.453,0.244,0.259,0.202,0.218,0.066,0.141,0.229,6,99
0.494,0.501,0.486,0.327,0.327,0.374,0.374,0.406,2,92
0.418,0.018,0.047,0.033,0.043,0.0,0.009,0.073,18,66
0.466,0.236,0.244,0.208,0.204,0.073,0.148,0.23,6,61
0.461,0.235,0.237,0.215,0.198,0.075,0.14,0.235,6,28
0.414,0.16,0.18,0.139,0.167,0.038,0.092,0.2,8,63
0.384,0.027,0.054,0.051,0.042,0.0,0.018,0.075,16,43
0.401,0.035,0.049,0.043,0.041,0.0,0.01,0.071,16,72
0.412,0.126,0.125,0.086,0.104,0.017,0.049,0.129,10,18
0.393,0.044,0.063,0.06,0.045,0.002,0.02,0.081,16,23
0.379,0.121,0.148,0.106,0.123,0.015,0.059,0.156,10,47
0.4,0.038,0.058,0.055,0.054,0.0,0.015,0.09,16,80
0.379,0.034,0.047,0.046,0.042,0.002,0.015,0.073,18,47
0.387,0.166,0.191,0.174,0.178,0.025,0.103,0.214,8,19
0.463,0.46,0.502,0.329,0.329,0.382,0.382,0.404,2,51
0.423,0.049,0.072,0.068,0.061,0.003,0.032,0.107,14,42
0.376,0.118,0.13,0.102,0.11,0.011,0.058,0.139,10,52
0.382,0.078,0.089,0.077,0.076,0.005,0.032,0.121,12,32
0.384,0.035,0.05,0.053,0.043,0.002,0.01,0.079,16,56
0.417,0.124,0.15,0.115,0.121,0.017,0.07,0.177,10,67
0.381,0.076,0.081,0.06,0.064,0.004,0.024,0.099,14,94
0.444,0.256,0.267,0.227,0.228,0.083,0.153,0.267,6,97
0.478,0.25,0.244,0.181,0.198,0.059,0.126,0.228,6,14
0.379,0.04,0.066,0.057,0.052,0.003,0.021,0.085,14,75
0.427,0.155,0.171,0.145,0.151,0.032,0.077,0.171,8,47
0.462,0.454,0.457,0.331,0.331,0.369,0.369,0.421,2,99
0.366,0.038,0.055,0.047,0.046,0.001,0.017,0.076,16,34
0.374,0.052,0.08,0.07,0.068,0.006,0.029,0.128,14,19
0.412,0.044,0.061,0.045,0.04,0.002,0.017,0.074,14,18
0.49,0.334,0.334,0.3,0.289,0.156,0.212,0.304,4,80
