newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.43666666666666665,0.6026666666666667,0.418,0.328,0.33866666666666667,0.2786666666666667,0.29933333333333334,0.32866666666666666,7500,93
0.47,0.66,0.465,0.41,0.405,0.48,0.475,0.425,1000,68
0.445,0.575,0.43,0.435,0.43,0.485,0.485,0.445,1000,21
0.4126666666666667,0.5993333333333334,0.3933333333333333,0.33,0.34933333333333333,0.2906666666666667,0.294,0.32266666666666666,7500,20
0.46,0.65,0.395,0.36,0.49,0.48,0.475,0.46,1000,73
0.442,0.566,0.422,0.384,0.444,0.346,0.346,0.398,2500,95
0.3965,0.6,0.3745,0.3225,0.343,0.289,0.2925,0.319,10000,88
0.486,0.546,0.468,0.43,0.43,0.32,0.342,0.452,2500,57
0.498,0.56,0.466,0.402,0.418,0.318,0.328,0.402,2500,72
0.468,0.602,0.404,0.378,0.4,0.298,0.328,0.368,2500,38
0.43,0.605,0.375,0.395,0.43,0.47,0.47,0.44,1000,35
0.405,0.58,0.39,0.445,0.435,0.525,0.52,0.395,1000,8
0.43333333333333335,0.5993333333333334,0.39866666666666667,0.306,0.31933333333333336,0.25066666666666665,0.2653333333333333,0.2966666666666667,7500,44
0.476,0.53,0.482,0.42,0.458,0.342,0.37,0.4,2500,53
0.2626,0.6279,0.2557,0.2492,0.2633,0.2131,0.2107,0.2356,50000,52
0.305,0.64625,0.2915,0.266,0.27475,0.24075,0.23575,0.257,20000,35
0.48,0.502,0.47,0.424,0.442,0.308,0.322,0.454,2500,66
0.2507,0.627,0.2469,0.2455,0.2649,0.2115,0.2066,0.2294,50000,100
0.391,0.606,0.3685,0.3065,0.3215,0.2575,0.269,0.297,10000,32
0.29675,0.6245,0.2905,0.2575,0.27525,0.2255,0.22525,0.24825,20000,52
0.3945,0.624,0.3725,0.3155,0.323,0.263,0.272,0.3085,10000,58
0.445,0.655,0.44,0.37,0.495,0.475,0.475,0.43,1000,16
0.505,0.66,0.465,0.375,0.365,0.485,0.48,0.42,1000,40
0.2541,0.6251,0.2457,0.2502,0.2629,0.211,0.2052,0.2334,50000,68
